风机编号,厂商,集电线路,开始时间,结束时间,持续长度(min),状态码,冻结有功kW,冻结风速ms,同时冻结风机数,异常类型,CT均值MW,CT有效均值MW,FAN_SUM均值MW,实际损耗均值MW,预期损耗均值MW,超额损耗均值MW,超额损耗总量MWmin,超额损耗总量MWh
63,明阳,WU,2024-08-13 13:34:00,2024-08-13 13:50:00,17,6.0,0.0,3.389,1,E,-2.5810412470588235,0.0,-0.2169823529411764,-0.2169823529411764,,,,
63,明阳,WU,2024-08-13 15:29:00,2024-08-13 15:37:00,9,1.0,69.0,2.7825,105,A,-2.5493621444444448,0.0,0.085,0.085,,,,
63,明阳,WU,2024-08-14 09:45:00,2024-08-14 10:03:00,19,1.0,-45.0,1.9045,131,B1,-3.136277105263158,0.0,-1.3189999999999995,-1.3189999999999995,,,,
63,明阳,WU,2024-08-14 10:46:00,2024-08-14 11:04:00,19,0.0,-35.0,2.2518,132,B1,-3.1997007578947376,0.0,-1.425,-1.425,,,,
63,明阳,WU,2024-08-14 14:27:00,2024-08-14 14:45:00,19,1.0,74.0,2.776,132,B1,-0.9532670915789472,0.0,1.2749999999999997,1.2749999999999997,,,,
63,明阳,WU,2024-08-14 15:34:00,2024-08-14 15:54:00,21,0.0,-35.0,1.1712,124,B1,-3.4725183476190478,0.0,-1.3249999999999995,-1.3249999999999995,,,,
63,明阳,WU,2024-08-26 16:12:00,2024-08-26 16:30:00,19,1.0,368.0,4.4792,133,B1,13.843711763157891,13.843711763157891,22.165000000000003,8.32128823684211,2.8700717003327116,5.451216536509397,103.57311419367855,1.7262185698946424
63,明阳,WU,2024-08-26 16:50:00,2024-08-26 17:09:00,20,1.0,147.0,3.6117,133,B1,0.979388555,0.979388555,9.655,8.675611445,2.659379236159997,6.016232208840003,120.32464417680005,2.005410736280001
63,明阳,WU,2024-08-26 17:30:00,2024-08-26 17:48:00,19,1.0,35.0,1.814,134,B1,-0.1193637168421052,0.0,2.8650000000000007,2.8650000000000007,2.564793174376382,0.30020682562361856,5.703929686848753,0.09506549478081254
63,明阳,WU,2024-08-26 18:12:00,2024-08-26 18:32:00,21,0.0,-36.0,2.2599,133,B1,101.25422914285716,101.25422914285716,4.287000000000002,-96.96722914285716,2.5834503110808487,-99.55067945393802,-2090.5642685326984,-34.842737808878304
63,明阳,WU,2024-08-31 15:45:00,2024-09-01 08:51:00,1027,1.0,3637.0,8.1431,52,B2,60.6463647721519,60.6463647721519,84.25602142161635,23.60965664946445,4.614625557431797,18.995031092032654,19507.896931517535,325.13161552529226
63,明阳,WU,2024-09-01 11:17:00,2024-09-01 11:50:00,34,6.0,360.0,4.1224,51,B2,35.26098217647058,35.26098217647058,30.201017647058823,-5.059964529411751,3.030322982304247,-8.090287511715998,-275.0697753983439,-4.584496256639065
63,明阳,WU,2024-09-23 13:51:00,2024-09-23 13:56:00,6,11.0,0.0,12.8464,137,B1,277.589385,277.589385,293.719,16.129615,19.0812097877168,-2.9515947877168003,-17.7095687263008,-0.29515947877168003
63,明阳,WU,2024-09-30 12:35:00,2024-09-30 14:56:00,142,1.0,0.0,2.7332,1,C,3.7587888591549294,3.7587888591549294,6.668183098591549,2.90939423943662,2.616058523274487,0.29333571616213305,41.653671695022894,0.6942278615837149
