字段名,重复值,开始时间,结束时间,持续长度,is_zero_value,异常类型
ACTIVE_POWER_BING,0.0,2024-05-27 23:12:00,2024-05-27 23:33:00,22,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-28 00:16:00,2024-05-28 00:21:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-28 03:08:00,2024-05-28 03:15:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-28 08:26:00,2024-05-28 08:31:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-28 10:40:00,2024-05-28 10:44:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-28 20:10:00,2024-05-28 20:27:00,18,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-28 21:48:00,2024-05-28 21:54:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-02 04:15:00,2024-06-02 04:30:00,16,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-02 04:58:00,2024-06-02 05:03:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-02 06:35:00,2024-06-02 06:40:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-02 07:50:00,2024-06-02 07:58:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-02 08:15:00,2024-06-02 08:25:00,11,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-02 08:49:00,2024-06-02 08:55:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-02 14:15:00,2024-06-02 14:22:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-03 04:52:00,2024-06-03 04:56:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-03 12:12:00,2024-06-03 12:17:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-03 16:27:00,2024-06-03 16:35:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-03 17:21:00,2024-06-03 17:31:00,11,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-03 18:28:00,2024-06-03 18:39:00,12,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-03 19:05:00,2024-06-03 19:10:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-04 10:46:00,2024-06-04 10:51:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-04 12:58:00,2024-06-04 13:02:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-05 11:29:00,2024-06-05 11:34:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-07 12:01:00,2024-06-07 12:21:00,21,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-08 06:20:00,2024-06-08 06:24:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-08 09:25:00,2024-06-08 09:32:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-08 19:04:00,2024-06-08 19:18:00,15,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-08 19:29:00,2024-06-08 19:33:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-08 19:58:00,2024-06-08 20:04:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-08 20:38:00,2024-06-08 20:44:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-09 08:56:00,2024-06-09 09:00:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-09 09:22:00,2024-06-09 09:28:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-09 09:30:00,2024-06-09 09:39:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-09 09:58:00,2024-06-09 10:04:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-09 11:39:00,2024-06-09 11:48:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-10 14:47:00,2024-06-10 14:58:00,12,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-11 18:46:00,2024-06-11 18:50:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-12 03:58:00,2024-06-12 04:02:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-13 05:02:00,2024-06-13 05:08:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-13 05:41:00,2024-06-13 05:47:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-16 02:23:00,2024-06-16 02:40:00,18,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-16 02:48:00,2024-06-16 02:53:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-22 12:45:00,2024-06-22 12:49:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,47.331806,2024-06-25 14:49:00,2024-06-25 15:01:00,13,False,集电线路非零卡值-删除
ACTIVE_POWER_BING,0.0,2024-06-26 18:14:00,2024-06-26 18:19:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-26 19:38:00,2024-06-26 19:45:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-26 20:08:00,2024-06-26 20:12:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-27 20:40:00,2024-06-27 20:49:00,10,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-28 06:47:00,2024-06-28 06:54:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-06-28 11:48:00,2024-06-28 11:52:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-03 12:07:00,2024-07-03 12:14:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-03 12:29:00,2024-07-03 12:34:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-07-03 14:23:00,2024-07-03 14:28:00,6,True,集电线路零值-需结合风机数据判断
