P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,region,bin_source,sigma_local,sigma_sample_n,var_local,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b,interp_order
4.0,4.5,4.240240000000001,2.6837782,1969,1,0.5,20,low,low_lookup,0.6428717429166099,1969,0.41328407784063975,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,9
4.5,5.0,4.743170000000001,2.6460004,1866,1,0.5,20,low,low_lookup,0.6062672239416693,1866,0.36755994682593823,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,10
5.0,5.5,5.244509999999999,2.4896124,1729,1,0.5,20,low,low_lookup,0.5972347712807781,1729,0.3566893720268033,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,11
5.5,6.0,5.728800000000001,2.4130552500000015,1428,1,0.5,20,low,low_lookup,0.6290646396829996,1428,0.39572232089950216,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,12
6.0,6.5,6.249179999999999,2.2563569999999995,1365,1,0.5,20,low,low_lookup,0.6350892028481605,1365,0.40333829557431194,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,13
6.5,7.0,6.75768,2.1846549999999993,1291,1,0.5,20,low,low_lookup,0.598265901135196,1291,0.35792208846110807,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,14
7.0,7.5,7.252834999999999,2.1407382999999998,1264,1,0.5,20,low,low_lookup,0.6310125149565964,1264,0.39817679403184875,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,15
7.5,8.0,7.74446,2.148605,1179,1,0.5,20,low,low_lookup,0.6349410315082192,1179,0.40315011349272145,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,16
8.0,8.5,8.24496,2.0225110000000015,1121,1,0.5,20,low,low_lookup,0.6068559832269496,1121,0.3682741843783477,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,17
8.5,9.0,8.738255000000002,1.9772248000000014,1052,1,0.5,20,low,low_lookup,0.6072605834941056,1052,0.3687654162656016,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,18
9.0,9.5,9.254729999999999,1.9507819999999967,1026,1,0.5,20,low,low_lookup,0.6152737312289884,1026,0.3785617643404415,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,19
9.5,10.0,9.741559999999998,1.890973299999998,963,1,0.5,20,low,low_lookup,0.6161191752976332,963,0.37960283816943563,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,20
10.0,20.0,14.646365,1.7339179999999956,17904,1,10.0,20,high,high_fit_bins,0.6971759771825253,17904,0.4860543431604091,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,21
20.0,30.0,24.890059999999995,1.7169060000000052,16411,1,10.0,20,high,high_fit_bins,0.5891190916264315,16411,0.3470613041187518,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,22
30.0,40.0,34.84823,1.839661000000003,13136,1,10.0,20,high,high_fit_bins,0.6631870951838428,13136,0.43981712321838334,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,23
40.0,50.0,45.03726,1.983393999999997,12911,1,10.0,20,high,high_fit_bins,0.7513692042330836,12911,0.5645556810698573,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,24
50.0,60.0,54.598299999999995,2.1378999999999984,11832,1,10.0,20,high,high_fit_bins,0.8967730774940287,11832,0.8042019525181112,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,25
60.0,70.0,64.8697799,2.3020249999999756,9596,1,10.0,20,high,high_fit_bins,1.025152080829699,9596,1.0509367888294616,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,26
70.0,80.0,74.910355,2.5196399999999954,7886,1,10.0,20,high,high_fit_bins,1.1636154745725693,7886,1.3540009726647457,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,27
80.0,90.0,84.79436,2.7073300000000415,7519,1,10.0,20,high,high_fit_bins,1.3332593470549998,7519,1.7775804865095244,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,28
90.0,100.0,94.84274500000001,2.9526574999999866,6604,1,10.0,20,high,high_fit_bins,1.468895105341341,6604,2.157652830495749,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,29
100.0,110.0,104.99584000000002,3.239519999999999,6181,1,10.0,20,high,high_fit_bins,1.5772380935139432,6181,2.4876800036314983,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,30
110.0,120.0,114.87371010000004,3.505634999999998,6000,1,10.0,20,high,high_fit_bins,1.7376754926699487,6000,3.019516117825749,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,31
120.0,130.0,125.04027999999998,3.742307150000002,5030,1,10.0,20,high,high_fit_bins,1.816938928884998,5030,3.301267071297764,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,32
130.0,140.0,135.10742495,4.008900100000048,4634,1,10.0,20,high,high_fit_bins,1.9120769710574201,4634,3.6560383432481185,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,33
140.0,150.0,144.90248000000003,4.311214999999962,4144,1,10.0,20,high,high_fit_bins,2.1392744889583075,4144,4.576495339107828,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,34
150.0,160.0,154.72227,4.6916399999999925,3812,1,10.0,20,high,high_fit_bins,2.288339052621945,3812,5.2364956197547015,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,35
160.0,170.0,165.08511499999997,4.959000000000003,3798,1,10.0,20,high,high_fit_bins,2.3391547286596714,3798,5.471644844610901,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,36
170.0,180.0,175.1771845,5.182490000000001,4034,1,10.0,20,high,high_fit_bins,2.357813560231923,4034,5.559284784813535,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,37
180.0,190.0,185.10913,5.5461199999999735,3393,1,10.0,20,high,high_fit_bins,2.578102020401503,3393,6.646610027598312,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,38
190.0,200.0,194.67212484999996,5.888054999999994,3054,1,10.0,20,high,high_fit_bins,2.6298149825424204,3054,6.915926842404591,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,39
200.0,210.0,205.12598,6.094529999999992,3121,1,10.0,20,high,high_fit_bins,2.662511077853462,3121,7.088965239692405,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,40
210.0,220.0,214.983785,6.5278749999999945,3128,1,10.0,20,high,high_fit_bins,2.695556774414498,3128,7.266026324091894,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,41
220.0,230.0,225.24881489999996,6.885629700000038,3086,1,10.0,20,high,high_fit_bins,2.8235637043759536,3086,7.972511992669258,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,42
230.0,240.0,234.85905499999996,7.18688985,3122,1,10.0,20,high,high_fit_bins,2.798235871511124,3122,7.830123992611621,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,43
240.0,250.0,244.84266000000002,7.734095200000013,2660,1,10.0,20,high,high_fit_bins,2.8353801843427937,2660,8.039380789763776,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,44
250.0,260.0,255.47163500000002,8.167999750000007,2772,1,10.0,20,high,high_fit_bins,2.6293964255577253,2772,6.913725562735743,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,45
260.0,270.0,265.30174,8.662105000000025,4548,1,10.0,20,high,high_fit_bins,2.1310272140908246,4548,4.541276987195701,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,46
270.0,280.0,275.25261,9.17434000000003,4421,1,10.0,20,high,high_fit_bins,1.9652132015196888,4421,3.862062927427265,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,47
280.0,290.0,284.98184,9.459564999999998,2936,1,10.0,20,high,high_fit_bins,1.9150038321120344,2936,3.667239677003777,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,48
290.0,300.0,293.3723598,9.882014999999996,3058,1,10.0,20,high,high_fit_bins,1.3365060020942678,3058,1.7862482936340032,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,49
300.0,310.0,304.30918999999994,10.717555000000033,614,1,10.0,20,high,high_fit_bins,1.0617749808815373,614,1.1273661100259889,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,50
0.0,10.0,4.258622,2.41334157,23647,1,10.0,20,high,high_fit_bins,0.5050299048468285,23647,0.2550552047895967,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,1
10.0,20.0,14.878289,2.1433685000000002,17652,1,10.0,20,high,high_fit_bins,0.5187354858131357,17652,0.26908650424178987,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,2
20.0,30.0,24.864037500000002,2.0484780000000065,15924,1,10.0,20,high,high_fit_bins,0.7691984185905351,15924,0.59166620716218,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,3
30.0,40.0,34.996528999999995,1.9807659999999956,14770,1,10.0,20,high,high_fit_bins,0.8113660458112375,14770,0.6583148602953631,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,4
40.0,50.0,44.6232605,1.9307049999999961,13596,1,10.0,20,high,high_fit_bins,0.8052329135647089,13596,0.64840004508791,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,5
50.0,60.0,54.793275,1.9169630000000133,10708,1,10.0,20,high,high_fit_bins,0.8954360664616114,10708,0.8018057491202434,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,6
60.0,70.0,64.650465,1.912400500000004,8976,1,10.0,20,high,high_fit_bins,1.0436764079534542,8976,1.089260444518625,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,7
70.0,80.0,74.897695,1.96456349999999,7822,1,10.0,20,high,high_fit_bins,1.0685106272673026,7822,1.1417149605831645,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,8
80.0,90.0,84.893776,2.097824000000017,7011,1,10.0,20,high,high_fit_bins,1.2897721479528192,7011,1.6635121936348292,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,9
90.0,100.0,94.78181,2.1579020000000213,6206,1,10.0,20,high,high_fit_bins,1.3549251277647043,6206,1.8358221018482004,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,10
100.0,110.0,104.94423,2.306671499999993,5726,1,10.0,20,high,high_fit_bins,1.4656473333641866,5726,2.148122105797551,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,11
110.0,120.0,114.83831,2.443779999999961,5099,1,10.0,20,high,high_fit_bins,1.591723345102306,5099,2.533583207343675,DING,丁（DING）,A,CT_eff,CT_eff,,10.0,12
