P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
90.0,100.0,94.78181,2.1579020000000213,6206,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
100.0,110.0,104.94423,2.306671499999993,5726,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
110.0,120.0,114.83831,2.443779999999961,5099,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
120.0,130.0,124.90497300000001,2.671531499999986,4540,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
130.0,140.0,134.78363000000002,2.9011155000000173,3866,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
140.0,150.0,145.9872,2.575397000000038,4333,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
150.0,160.0,155.106335,3.064664499999992,3320,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
160.0,170.0,164.870665,3.436587999999958,3020,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
170.0,180.0,174.98542,3.6957739999999717,2820,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
180.0,190.0,184.84350999999998,3.5718685000000363,2840,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
190.0,200.0,194.988775,3.9176044999999533,2642,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
200.0,210.0,205.0929,4.005295999999987,2843,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
210.0,220.0,215.12859,4.507901500000031,2936,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
220.0,230.0,224.99982,4.328079999999915,2305,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
230.0,240.0,235.3059,4.741400999999996,2869,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
240.0,250.0,244.92564499999997,5.4037169999999435,2810,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
250.0,260.0,254.12982,5.997186000000056,4021,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
260.0,270.0,263.65936,6.026300000000049,2023,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
270.0,280.0,274.26535,5.5657580000000735,1727,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
280.0,290.0,280.97818,5.440705999999864,797,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
0.0,10.0,8.8120495,2.3205314999999995,4384,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
10.0,20.0,14.878289,2.1433685000000002,17652,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
20.0,30.0,24.864037500000002,2.0484780000000065,15924,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
30.0,40.0,34.996528999999995,1.9807659999999956,14770,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
40.0,50.0,44.6232605,1.9307049999999961,13596,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
50.0,60.0,54.793275,1.9169630000000133,10708,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
60.0,70.0,64.650465,1.912400500000004,8976,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
70.0,80.0,74.897695,1.96456349999999,7822,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
80.0,90.0,84.893776,2.097824000000017,7011,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
90.0,100.0,94.78181,2.1579020000000213,6206,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
100.0,110.0,104.94423,2.306671499999993,5726,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
110.0,120.0,114.83831,2.443779999999961,5099,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
