风机编号,厂商,集电线路,开始时间,结束时间,持续长度(min),状态码,冻结有功kW,冻结风速ms,同时冻结风机数,异常类型
91,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,430.0,4.8018,135,多机-大范围-短时
92,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,344.0,4.3359,135,多机-大范围-短时
93,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,656.0,5.1562,135,多机-大范围-短时
94,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,514.0,4.6615,135,多机-大范围-短时
95,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,932.0,5.5953,135,多机-大范围-短时
97,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,730.0,3.7337,135,多机-大范围-短时
98,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,896.0,5.1391,135,多机-大范围-短时
99,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,553.0,4.8269,135,多机-大范围-短时
100,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,401.0,3.2064,135,多机-大范围-短时
101,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,681.0,5.0716,135,多机-大范围-短时
102,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,415.0,3.9313,135,多机-大范围-短时
103,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,723.0,5.6836,135,多机-大范围-短时
104,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,481.0,3.8835,135,多机-大范围-短时
105,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,1117.0,7.2526,135,多机-大范围-短时
106,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,1018.0,5.3027,135,多机-大范围-短时
107,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,573.0,4.1862,135,多机-大范围-短时
108,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,840.0,5.957,135,多机-大范围-短时
109,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,501.0,2.2493,135,多机-大范围-短时
110,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,101.0,1537.33,5.914,135,多机-大范围-短时
111,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,1267.4,5.596,135,多机-大范围-短时
112,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,110.0,-9.0,3.822,135,多机-大范围-短时
113,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,101.0,1599.24,6.068,135,多机-大范围-短时
114,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,694.52,4.733,135,多机-大范围-短时
115,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,849.63,4.951,135,多机-大范围-短时
116,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,1031.46,5.292,135,多机-大范围-短时
117,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,245.77,3.95,135,多机-大范围-短时
118,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,110.0,-28.37,5.744,135,多机-大范围-短时
119,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,110.0,0.0,4.39,135,多机-大范围-短时
120,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,106.0,1362.58,5.676,135,多机-大范围-短时
121,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,101.0,1383.49,5.691,135,多机-大范围-短时
122,东气,DING,2024-08-09 11:02:00,2024-08-09 11:06:00,5,110.0,0.0,4.855,135,多机-大范围-短时
